Unnamed: 0;LVL;Kanji;Lecture ON;Lecture KUN;Signification
916;N2;賢;ケン;かしこ.い;sagesse, intelligence
917;N4;質;シツ;たち, ただ.す, もと;substance, matière, qualité
918;N2;贈;ゾウ;おく.る;offrir, donner, accorder, cadeau
919;N4;赤;セキ;あか.い;rouge
920;N4;走;ソウ;はし.る;courir
921;N4;起;キ;お.きる, お.こす;se lever, se réveiller, réveiller
922;N2;超;チョウ;こ.える;dépasser, excéder
923;N3;越;エツ, オツ;こ.す, こ.える;surpasser, dépasser, traverser
924;N5;足;ソク;あし, た.りる, た.す;jambe, être suffisant, ajouter
925;N2;跡;セキ;あと;empreinte, trace, marque
926;N3;路;ロ, ル;みち;route, chemin, voie
927;N2;踊;ヨウ;おど.る;danser, bondir, sautiller
928;N2;身;シン;み;individu, chair, corps
929;N5;車;シャ;くるま;véhicule, voiture
930;N2;軍;グン;-;armée, troupes
931;N2;軒;ケン;のき;"gouttière, auvent, compteur pour les
maisons"
932;N2;軟;ナン;やわ.らかい;mou, tendre, souple
933;N4;転;テン;ころ.ぶ, まろ.ぶ;tourner, rouler
934;N4;軽;ケイ;かる.い;léger, sans importance
936;N2;較;カク, コウ;くら.べる;comparer, comparaison, constraste
937;N2;輪;リン;わ;"roue, anneau, compteur des fleurs ou des
roues"
938;N2;輸;ユ, シュ;-;transporter, envoyer
939;N2;辛;シン;から.い, つら.い;épicé, piquant, relevé
940;N3;辞;ジ;や.める;mot, terme, expression, renoncer à, cesser
941;N2;農;ノウ;-;agriculture
942;N2;辺;ヘン;あた.り;alentours, les environs, le voisinage
943;N3;込;-;こ.む;plein de monde, être rempli, mélange
944;N3;迎;ゲイ;むか.える;accueillir, rencontrer
945;N4;近;キン, コン;ちか.い;proche, récent
946;N3;返;ヘン;かえ.す, かえ.る;rendre, retourner
947;N2;述;ジュツ;の.べる;expliquer, mentionner, déclarer
948;N3;迷;メイ;まよ.う;s'égarer, se perdre, perdu
949;N3;追;ツイ;お.う;pourchasser, suivre, poursuivre
950;N3;退;タイ;"しりぞ.く, の.ける, ど.
く";retraite, se retirer, exclure, rejeter
951;N4;送;ソウ;おく.る;envoyer, expédier, escorter
952;N3;逃;トウ;に.げる, のが.す;s'échapper, s'enfuir, s'évader
953;N2;逆;ギャク, ゲキ;"さか, さか.さ, さか.ら
う";contraire, inverse, opposé
954;N3;途;ト;みち;chemin, route, trajet
955;N4;通;ツウ, ツ;"とお.る, とお.り, かよ.
う";circulation, rue, trajet (travail)
956;N3;速;ソク;はや.い;rapide (en vitesse), vite
957;N2;造;ゾウ;つく.る;construire, édifice
958;N3;連;レン;つ.れる, つら.なる;emmener, accompagner, partie, bande
959;N5;週;シュウ;-;semaine
960;N4;進;シン;すす.む;avancer, progresser
961;N3;遅;チ;おく.れる, おそ.い;être en retard, lent, retard
962;N3;遊;ユウ;あそ.ぶ;jouer
963;N4;運;ウン;はこ.ぶ;transporter, destin, chance
964;N3;過;カ;す.ぎる, あやま.つ;dépasser, excéder
965;N5;道;ドウ;みち;voie, route, chemin
966;N3;達;タツ, ダ;たち;atteindre, arriver, suffixe du pluriel
967;N3;違;イ;ちが.う, ちが.い, ちが.;différer, différence, être différent
969;える;;;;
970;N4;遠;エン, オン;とお.い;loin, distant
971;N3;適;テキ;かな.う;approprié, qualifié, convenable
972;N3;選;セン;えら.ぶ;choisir, sélectionner, élection
973;N2;郊;コウ;-;périphérie, banlieue
974;N3;部;ブ;べ;section, portion, partie, service
975;N2;郵;ユウ;-;poste, courrier
976;N4;都;ト, ツ;みやこ;capitale, métropôle
977;N3;配;ハイ;くば.る;livrer, distribuer
978;N3;酒;シュ;さけ;alcool, sake
979;N4;重;ジュウ, チョウ;おも.い;lourd
980;N4;野;ヤ;の;campagne, plaine, champ
981;N2;量;リョウ;はか.る;peser, mesurer, étudier (une situation)
982;N5;金;キン, コン;かね;or
983;N2;針;シン;はり;aiguille
984;N2;鈍;ドン;"にぶ.い, なま.る, なま
く.ら";émoussé, lent, bête
985;N2;鉄;テツ;くろがね;fer
986;N2;鉱;コウ;あらがね;minerai
987;N4;銀;ギン;しろがね;argent (minerai)
988;N2;銅;ドウ;あかがね;cuivre
989;N2;鋭;エイ;するど.い;pointu, tranchant, aiguisé
990;N2;錬;レン;ね.る;endurcir, améliorer, entrainer, perfectionner
991;N2;録;ロク;-;enregistrement, registre
